USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
rajasurya         1028 103.3  2.5 537460288 209712   ??  R    11:35AM  61:49.93 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
rajasurya        69213   0.7  1.1 1951216688  95088   ??  S     3:19PM   3:19.77 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/rajasurya/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1788418957707725 --launch-time-ticks=10030461827 --shared-files --field-trial-handle=1718379636,r,9766874116593460391,7633070548864621617,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7202406566542703733,17975514824679918184,4 --trace-process-track-uuid=3190708990997080739 --vscode-window-config=vscode:e50588cd-9dfe-4abc-b458-33dcb1741bee --seatbelt-client=66
root                 1   0.6  0.1 435247536   5728   ??  Ss   11:34AM   2:31.53 /sbin/launchd
rajasurya        71215   0.6  0.0 435299600   2016   ??  S     7:12PM   0:00.00 bash /private/tmp/claude-501/-Users-rajasurya-devops-heros/433e087a-6d7f-456e-8e04-c5a4bf549107/scratchpad/term/capture.sh shell-01-run
rajasurya          844   0.6  0.2 435428128  12672   ??  S    11:35AM   1:16.67 /Applications/Adobe Acrobat DC/Adobe Acrobat.app/Contents/Helpers/AdobeResourceSynchronizer.app/Contents/MacOS/AdobeResourceSynchronizer
root               386   0.6  0.0 435305152   2720   ??  Ss   11:35AM   0:35.77 /usr/sbin/notifyd
_mdnsresponder     425   0.5  0.1 435352832   8096   ??  Ss   11:35AM   2:01.90 /usr/sbin/mDNSResponder
root               320   0.5  0.1 435428656   5312   ??  Ss   11:35AM   1:33.68 /usr/libexec/logd
rajasurya        69521   0.4  0.3 1951231520  28176   ??  R     3:19PM   0:10.31 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --user-data-dir=/Users/rajasurya/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,9766874116593460391,7633070548864621617,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7202406566542703733,17975514824679918184,4 --trace-process-track-uuid=3190708997556373682
_driverkit         552   0.4  0.4 435295456  35264   ??  Ss   11:35AM   4:41.34 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000af6 com.apple.DriverKit-AppleBCMWLAN
rajasurya         1039   0.3  0.5 487023648  40656   ??  S    11:35AM  17:18.76 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=7b957337-2777-41c4-9da3-a3c049d841d9 --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,3551697162255389694,10385683312628278057,262144 --field-trial-handle=1718379636,r,3751889532216449349,1173215868710034693,262144 --variations-seed-version=20260902-010033.819000-production --pseudonymization-salt-handle=1935764596,r,5608448436285645687,1084734478086000897,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=20
rajasurya          664   0.3  0.1 435705904  12512   ??  S    11:35AM   1:08.83 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
rajasurya        15028   0.3  0.8 1949451264  69760   ??  S     4:25PM   0:52.66 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=7b957337-2777-41c4-9da3-a3c049d841d9 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1671 --launch-time-ticks=13965608542 --shared-files --metrics-shmem-handle=1752395122,r,17012938955774461579,1310893254857027161,2097152 --field-trial-handle=1718379636,r,3751889532216449349,1173215868710034693,262144 --variations-seed-version=20260902-010033.819000-production --pseudonymization-salt-handle=1935764596,r,5608448436285645687,1084734478086000897,4 --trace-process-track-uuid=3190710552108801173 --seatbelt-client=336
rajasurya          703   0.3  0.1 435352272   8352   ??  S    11:35AM   0:14.71 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
rajasurya        73173   0.3  1.3 440921488 106720   ??  S     3:20PM   4:42.03 /Users/rajasurya/.vscode/extensions/anthropic.claude-code-2.1.251-darwin-arm64/resources/native-binary/claude --output-format stream-json --verbose --input-format stream-json --max-thinking-tokens 31999 --permission-prompt-tool stdio --resume=d0146a03-6a63-42f3-81b0-cdb30a8e9173 --setting-sources=user,project,local --permission-mode bypassPermissions --allow-dangerously-skip-permissions --include-partial-messages --debug --debug-to-stderr --enable-auth-status --no-chrome --replay-user-messages
rajasurya          586   0.3  0.0 435309840   4016   ??  S    11:35AM   0:32.20 /usr/sbin/cfprefsd agent
